word,hamcount,spamcount,invham,invspam
_any_,8,0,1,0
_anyhting_,1,0,1,0
_anyone_,1,0,1,0
_anything_,2,0,1,0
_aphrodite_,1,0,1,0
_apollo_,1,0,1,0
_aquaculture_,1,0,1,0
_archaeology_,1,0,1,0
_are_,3,0,1,0
_arg,2,0,1,0
_artemis_,1,0,1,0
_as,1,0,1,0
_asm,1,0,1,0
_attice,0,128,0,1
_automate_,1,0,1,0
_awful_,2,0,1,0
_b,57,0,1,0
_back,1,0,1,0
_backup,2,0,1,0
_baes,1,0,1,0
_baha,2,0,1,0
_bahia_,1,0,1,0
_baldwin_,1,0,1,0
_barbie,2,0,1,0
_barrier,4,0,1,0
_barrymore_,1,0,1,0
_beatrice_,1,0,1,0
_becoming,2,0,1,0
_bee,1,0,1,0
_before_,1,0,1,0
_below_,1,0,1,0
_benchmark,2,0,1,0
_benguela_,1,0,1,0
_bettelheim_,1,0,1,0
_bhkouwxz,1,0,1,0
_bias_avg,1,0,1,0
_bit,5,0,1,0
_black,2,0,1,0
_blackbird_s,1,0,1,0
_blank,20,1319,1,1
_blnk,0,13,0,1
_block,3,0,1,0
_blushes_,4,0,1,0
_body_html,0,4,0,1
_bootes_,1,0,1,0
_borderlands_,2,0,1,0
_boston,1,0,1,0
_both_,1,0,1,0
_boundary,43,0,1,0
_boundary_,4,0,1,0
_bp,0,84,0,1
_brazil_,1,0,1,0
_breaking,1,0,1,0
_brief,1,0,1,0
_broschi_,1,0,1,0
_brussels_,1,0,1,0
_by,1,0,1,0
_c,15,16,1,1
_c_,3,0,1,0
_c_r_i_b_e,0,2,0,1
_c_r_l_b_e,0,2,0,1
_calling,2,0,1,0
_can,3,0,1,0
_can_,5,0,1,0
_canada_,1,0,1,0
_catch,1,0,1,0
_cdecl,2,0,1,0
_celestial_,3,0,1,0
_century_,1,0,1,0
_certainly_,1,0,1,0
_chamerberlain_v_skylink_amd_complaint,1,0,1,0
_charge_,2,0,1,0
_charlotte,1,0,1,0
_cherax,3,0,1,0
_chicana,1,0,1,0
_chinese,2,0,1,0
_chinese_with_eng,1,0,1,0
_chomsky_,1,0,1,0
_christopher_,1,0,1,0
_click__here_and,0,2,0,1
_client_,1,0,1,0
_closed_,4,0,1,0
_comic,1,0,1,0
_compat,56,0,1,0
_comte_,1,0,1,0
_concievably_,1,0,1,0
_config,7,0,1,0
_conform,10,0,1,0
_consciously_,1,0,1,0
_constructing,1,0,1,0
_context,2,0,1,0
_coral_,1,0,1,0
_could_,2,0,1,0
_countries_,1,0,1,0
_counts,60,0,1,0
_coupland_,1,0,1,0
_court,1,0,1,0
_ctype,1,0,1,0
_currently,0,4,0,1
_currer,1,0,1,0
_cygnus_,1,0,1,0
_d,4,0,1,0
_dada_,1,0,1,0
_dadaism_,1,0,1,0
_dangerous,1,0,1,0
_dante_,1,0,1,0
_darwin_on_trial_,1,0,1,0
_db,4,0,1,0
_dec_set,2,0,1,0
_definitely_,1,0,1,0
_details_click__here,0,2,0,1
_dg,4,0,1,0
_dialed_,1,0,1,0
_did,1,0,1,0
_dido_,1,0,1,0
_digital,2,0,1,0
_dns,56,0,1,0
_do_,1,0,1,0
_do_not_,2,0,1,0
_dogma_,1,0,1,0
_don,3,0,1,0
_dorian_,1,0,1,0
_dragon,0,1156,0,1
_drinking,1,0,1,0
_durkheim_,1,0,1,0
_e,10,6,1,1
_easy_,3,0,1,0
_educated,1,0,1,0
_egret,8,0,1,0
_ellis,1,0,1,0
_email,2,0,1,0
_emil_v,4,0,1,0
_emily,1,0,1,0
_encoder,8,0,1,0
_energy_corp,0,2,0,1
_epee_,1,0,1,0
_etherophone_,1,0,1,0
_etudes,1,0,1,0
_european,1,0,1,0
_ever_,1,0,1,0
_every_,5,0,1,0
_evolution,1,0,1,0
_evts,2,0,1,0
_excellent_,2,0,1,0
_exit,1,0,1,0
_exp_analog,12,0,1,0
_expression,0,10,0,1
_f,13,46,1,1
_farinelli_,1,0,1,0
_fates_,1,0,1,0
_fax_,1,0,1,0
_fd,4,0,1,0
_feature_,1,0,1,0
_feel_,2,0,1,0
_feminine,1,0,1,0
_feminist,5,0,1,0
_few_,2,0,1,0
_files,56,0,1,0
_fireweed_,1,0,1,0
_flags,2,0,1,0
_flmrv,1,0,1,0
_fn,2,0,1,0
_for,1,0,1,0
_force_,1,0,1,0
_formaldehyde_,1,0,1,0
_format_strings,1,0,1,0
_fossils_,1,0,1,0
_from,5,0,1,0
_from_,2,0,1,0
_g,0,2,0,1
_g_a_m_b_l_e_,1,0,1,0
_gadhafi_,1,0,1,0
_gaston,2,0,1,0
_gender,1,0,1,0
_genesis,1,0,1,0
_get_,1,0,1,0
_getchar,1,0,1,0
_getdatetime,2,0,1,0
_gets_,1,0,1,0
_girl,1,0,1,0
_girls,1,0,1,0
_go,1,0,1,0
_goma_,1,0,1,0
_graces_,1,0,1,0
_graphemes_,1,0,1,0
_greatly_,1,0,1,0
_green,1,0,1,0
_green_,1,0,1,0
_gsim,11,0,1,0
_gte_,2,0,1,0
_h,0,52,0,1
_habit_,1,0,1,0
_haciendo,2,0,1,0
_handled_,1,0,1,0
_hangasman_,1,0,1,0
_harrisburg_,1,0,1,0
_have_,2,0,1,0
_hb,1,0,1,0
_hear,1,0,1,0
_hellraisers,1,0,1,0
_heloise_,1,0,1,0
_herzog_,1,0,1,0
_high_threshold,4,0,1,0
_history,1,0,1,0
_hitler,1,0,1,0
_hk,1,0,1,0
_hobby_,1,0,1,0
_homosexuality,1,0,1,0
_horsepower_,1,0,1,0
_how_,1,0,1,0
_huguenots_,1,0,1,0
_human,1,0,1,0
_hundred_,1,0,1,0
_i,12,66,1,1
_i_,2,0,1,0
_i_icb,5,0,1,0
_ic,34,0,1,0
_icb,5,0,1,0
_idl,96,0,1,0
_images,3,0,1,0
_in,3,0,1,0
_inanna,1,0,1,0
_inches_,1,0,1,0
_includes,1,0,1,0
_increases_,1,0,1,0
_inferior_,1,0,1,0
_init,19,0,1,0
_init_globals,1,0,1,0
_inp,5,0,1,0
_int,1,0,1,0
_internal,1,0,1,0
_internet,1,0,1,0
_interrupt_handler,6,0,1,0
_ionian_,1,0,1,0
_ir,44,0,1,0
_is,1,0,1,0
_is_,8,0,1,0
_isdigit,4,0,1,0
_isspace,2,0,1,0
_issuer_,2,0,1,0
_it_,2,0,1,0
_itself_,2,0,1,0
_j,0,24,0,1
_jane,1,0,1,0
_janissaries_,1,0,1,0
_jasus,1,0,1,0
_jiang_,1,0,1,0
_john,1,0,1,0
_journal,1,0,1,0
_journal_,2,0,1,0
_just_,3,0,1,0
_kefauver_,1,0,1,0
_kikwit_,1,0,1,0
_kinshasa_,1,0,1,0
_kiss,5,0,1,0
_klein,2,0,1,0
_knew_,1,0,1,0
_know_,2,0,1,0
_kosovo_,2,0,1,0
_l,2,0,1,0
_la,1,0,1,0
_le,2,0,1,0
_left,4,0,1,0
_leo_,1,0,1,0
_libg_extension,1,0,1,0
_linux,3,0,1,0
_linux_tasks_h,2,0,1,0
_liszt_,1,0,1,0
_little,1,0,1,0
_live,1,0,1,0
_long_,2,0,1,0
_lot_,1,0,1,0
_low_threshold,4,0,1,0
_lucy_,1,0,1,0
_lydian_,1,0,1,0
_m_o_r_r_i_s_,1,0,1,0
_ma,37,0,1,0
_mac,1,0,1,0
_mail_shift,1,0,1,0
_main,2,0,1,0
_malleus,2,0,1,0
_masque_,1,0,1,0
_max_path,2,0,1,0
_may_,2,0,1,0
_me_,1,0,1,0
_mem_bin,1,0,1,0
_men_,1,0,1,0
_merchant_,2,0,1,0
_mhq,1,0,1,0
_micro_second,1,0,1,0
_might_,1,0,1,0
_mile_,1,0,1,0
_mixed,3,0,1,0
_mixolydian_,1,0,1,0
_modern,1,0,1,0
_momentarily_,1,0,1,0
_monte,1,0,1,0
_more_,2,0,1,0
_most_,1,0,1,0
_motor_speed,5,0,1,0
_my_,1,0,1,0
_n,0,164,0,1
_n_,3,0,1,0
_natural,1,0,1,0
_necessary_,2,0,1,0
_needs_,1,0,1,0
_netptr,1,0,1,0
_never_,7,0,1,0
_new,1,0,1,0
_new_,2,0,1,0
_newptr,2,0,1,0
_next,6,0,1,0
_nextpart_,484,25,1,1
_nextpart_qeuvuqakjc,3,0,1,0
_nine_,1,0,1,0
_nis,56,0,1,0
_nisa_,1,0,1,0
_no,2,0,1,0
_no_,2,0,1,0
_non,1,0,1,0
_normal_,1,0,1,0
_northridge_,1,0,1,0
_not_,21,0,1,0
_nothing_,2,0,1,0
_nr_,2,0,1,0
_nuclear_,1,0,1,0
_o,8,0,1,0
_o_,0,4,0,1
_oc_stat,1,0,1,0
_oestersund_,1,0,1,0
_of,1,0,1,0
_off,5,0,1,0
_official_,1,0,1,0
_ohu,1,0,1,0
_omega,1,0,1,0
_on,5,0,1,0
_one,1,0,1,0
_only_,5,0,1,0
_origins,1,0,1,0
_other_,2,0,1,0
_out,1,0,1,0
_outp,3,0,1,0
_p_h_i_l_i_p_,1,0,1,0
_p_r_o_c_t_e_r_,1,0,1,0
_pa,7,0,1,0
_palindromes_,1,0,1,0
_parent,0,2,0,1
_parsi_ism,1,0,1,0
_pastoral_,1,0,1,0
_pay_,2,0,1,0
_pb,2,0,1,0
_pc,2,0,1,0
_pe,0,48,0,1
_petit,1,0,1,0
_phi,1,0,1,0
_philip,1,0,1,0
_phrygian_,1,0,1,0
_phylogenetic,1,0,1,0
_pl_,1,0,1,0
_plain,1,0,1,0
_play,1,0,1,0
_please_,2,0,1,0
_poems,1,0,1,0
_pooh,1,0,1,0
_posix_source,5,0,1,0
_prague_,1,0,1,0
_precisely_,1,0,1,0
_predates_,1,0,1,0
_primate,2,0,1,0
_printf,1,0,1,0
_printnum,6,0,1,0
_private,0,6,0,1
_process,1,0,1,0
_procter,1,0,1,0
_programming,1,0,1,0
_promethium_,1,0,1,0
_promo,0,2,0,1
_ps,9,0,1,0
_publicly_recognized_,3,0,1,0
_pulse,19,0,1,0
_pulse_length,1,0,1,0
_qua,1,0,1,0
_quebec_,2,0,1,0
_queer,1,0,1,0
_r,16,0,1,0
_raw_analog,34,0,1,0
_read_,1,0,1,0
_readxpram,2,0,1,0
_real_,1,0,1,0
_really_,9,0,1,0
_reassemble,1,0,1,0
_recife_,1,0,1,0
_recognize_,1,0,1,0
_recursive_,1,0,1,0
_recursively,1,0,1,0
_refusing,1,0,1,0
_regular_,1,0,1,0
_reichstag_,1,0,1,0
_replacing_,1,0,1,0
_require_,1,0,1,0
_requiring_,2,0,1,0
_resets_,1,0,1,0
_resetting_,1,0,1,0
_reviving,3,0,1,0
_right,3,0,1,0
_ringing,1,0,1,0
_rnd_busy,2,0,1,0
_robot,2,0,1,0
_run_numbers,4,0,1,0
_salk_,1,0,1,0
_sarah,1,0,1,0
_sargent,1,0,1,0
_saskatchewan_,1,0,1,0
_scalfaro_,1,0,1,0
_scientific,1,0,1,0
_scmzzzzzzz_,0,192,0,1
_scribner,1,0,1,0
_scripts,3,0,1,0
_second_,2,0,1,0
_seems_,1,0,1,0
_selected,2,0,1,0
_send,8,0,1,0
_sennett_,1,0,1,0
_separate_,3,0,1,0
_sequences_,1,0,1,0
_set_motor,8,0,1,0
_set_motor_speeds,3,0,1,0
_setdatetime,2,0,1,0
_sexual,5,0,1,0
_sheik_,1,0,1,0
_shirley,1,0,1,0
_shirley_,1,0,1,0
_shortchanging,1,0,1,0
_should_,1,0,1,0
_shrew_,1,0,1,0
_sion_,1,0,1,0
_sirens_,1,0,1,0
_sister,1,0,1,0
_six_,1,0,1,0
_sleep,5,0,1,0
_smile_,3,0,1,0
_smith_,1,0,1,0
_sock_newrock,3,0,1,0
_sock_srv,2,0,1,0
_sock_srvname,3,0,1,0
_soft_,3,0,1,0
_soleil,1,0,1,0
_some_,1,0,1,0
_something_,1,0,1,0
_source_,1,0,1,0
_south,2,0,1,0
_specific_,1,0,1,0
_specify_,1,0,1,0
_spwm,3,0,1,0
_standards_,1,0,1,0
_still_,2,0,1,0
_stone_,1,0,1,0
_straight,4,0,1,0
_strlen,1,0,1,0
_subj_,0,2,0,1
_subj_ml,0,6,0,1
_subj_viagra,0,2,0,1
_sweden_,1,0,1,0
_switch_,1,0,1,0
_switzerland_,1,0,1,0
_sybil_,1,0,1,0
_syntactic,1,0,1,0
_syscall,2,0,1,0
_t,1,0,1,0
_taming,3,0,1,0
_taming_,1,0,1,0
_technical_,1,0,1,0
_telephony_,1,0,1,0
_tempo_,1,0,1,0
_tex,2,0,1,0
_text_,1,0,1,0
_that,2,0,1,0
_that_,2,0,1,0
_the,40,0,1,0
_the_economist_,1,0,1,0
_themselves_,2,0,1,0
_theremin_,1,0,1,0
_thereminvox_,1,0,1,0
_this_,1,0,1,0
_thousand_,1,0,1,0
_through_,3,0,1,0
_thru_,1,0,1,0
_time,1,0,1,0
_to,2,0,1,0
_to_the_merchant_,2,0,1,0
_today,1,0,1,0
_tool_,2,0,1,0
_toole_,1,0,1,0
_top,1,74,1,1
_toward,1,0,1,0
_trailing_,1,0,1,0
_true,1,0,1,0
_tt_isclose,4,0,1,0
_twelve_,1,0,1,0
_two_,4,0,1,0
_tyler_,1,0,1,0
_u,2,0,1,0
_u_b_,0,2,0,1
_u_b_s_c_r_l_b_e,0,2,0,1
_ultimate_,1,0,1,0
_unassembled_,1,0,1,0
_unbearable,1,0,1,0
_under_,1,0,1,0
_unicode_,1,0,1,0
_until_,4,0,1,0
_upright_,1,0,1,0
_upton_,1,0,1,0
_used_,2,0,1,0
_uu_b_s_c_r_l_b_e,0,2,0,1
_v,6,0,1,0
_v_,1,0,1,0
_v_e,0,2,0,1
_velocity,8,0,1,0
_venus,1,0,1,0
_vertebrate,1,0,1,0
_very_,3,0,1,0
_via,4,0,1,0
_vienna_,1,0,1,0
_violently_,2,0,1,0
_voxinfo,3,0,1,0
_vsetuptags,3,0,1,0
_vti_bin,1,0,1,0
_waifs,1,0,1,0
_way_,4,0,1,0
_we_,3,0,1,0
_weber_,1,0,1,0
_were_,2,0,1,0
_wheel,6,0,1,0
_where,5,0,1,0
_which_,4,0,1,0
_who,1,0,1,0
_why_,1,0,1,0
_wild_,2,0,1,0
_win,2,0,1,0
_windward,1,0,1,0
_with_,1,0,1,0
_within_,1,0,1,0
_without_,4,0,1,0
_wolfman,1,0,1,0
_women,7,0,1,0
_womens,1,0,1,0
_worse_,5,0,1,0
_would_,1,0,1,0
_writexpram,2,0,1,0
_written_,1,0,1,0
_wuthering,1,0,1,0
_x,0,66,0,1
_xj,2,0,1,0
_y,1,0,1,0
_yenicheri_,1,0,1,0
_you,2,0,1,0
_you_,4,0,1,0
_your_,1,0,1,0
_z,2,0,1,0
_zoroastrian_ism,1,0,1,0
_ı,0,2,0,1
_ɠ,1,0,1,0
_υdxusstȝgok츹,1,0,1,0
a,76167,99827,1,1
a_,31,11,1,1
a_a,0,4,0,1
a_boundary,4,0,1,0
a_fan,8,0,1,0
a_fu,8,0,1,0
a_i,1,0,1,0
a_nvidia_geforce_driver_,2,0,1,0
a_q_u_,0,2,0,1
aa,1683,3278,1,1
aaa,686,429,1,1
aaaa,166,15,1,1
aaaaa,25,1,1,1
aaaaaa,9,20,1,1
aaaaaaa,9,0,1,0
aaaaaaaa,38,1,1,1
aaaaaaaaa,10,3,1,1
aaaaaaaaaa,4,0,1,0
aaaaaaaaaaa,1,0,1,0
aaaaaaaaaaaa,9,1,1,1
aaaaaaaaaaaaa,2,0,1,0
aaaaaaaaaaaaaa,4,0,1,0
aaaaaaaaaaaaaaa,1,0,1,0
aaaaaaaaaaaaaaaa,29,5,1,1
aaaaaaaaaaaaaaaaa,2,0,1,0
aaaaaaaaaaaaaaaaaaa,1,0,1,0
aaaaaaaaaaaaaaaaaaaa,1,0,1,0
aaaaaaaaaaaaaaaaaaaaa,3,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaa,3,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaa,0,1,0,1
aaaaaaaaaaaaaaaaaaaaaaaaaa,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaa,2,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,3,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,1,0,1
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,5,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,3,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,5,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,3,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,1,0,1
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,4,1,1,1
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,4,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,3,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,1,0,1
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1,1,1,1
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,1,0,1
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,829,196,1,1
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,462,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadq,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadzbk,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaae,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaf,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaoaaia,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaqaaaie,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaad,0,1,0,1
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaap,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaakabb,0,1,0,1
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadaaaa,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaasqiob,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaac,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacqqgaa,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaagaaaheb,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaegacaf,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacaaaaaaaaaaaa,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaeaaabbaaa,0,1,0,1
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaasabaacgabafsa,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaea,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabiaagekaaaa,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaafdoyxqgaxmg,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahclaaaaaaaa,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaap,1,1,1,1
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacaegbbqanacc,0,1,0,1
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaafgabaqka,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaafgafaf,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacaaaacqh,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaakaaib,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaasaaiaegaaabqa,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaasaaiblaaaadaa,1,0,1,0
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaawaaea,0,1,0,1
